section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3,description_4
presentations,TRUE,"Singh SK, Singh S, Kumar P. Functional annotation of Rheumatoid Arthritis associated loci identified by genome-wide association studies at the First BiOmics Conference.",,"Neemrana, RJ, India",2019,2019,,,,
presentations,TRUE,"Singh SK, Dapprich J, Dorak MT, Functional annotation of the cluster of schizophrenia risk markers in the extended HLA class I region at the 32nd EFI Conference.", ,"Venice, Italy",2018,2018,,,,
presentations,TRUE,"Singh SK, McCauley JL, Dorak MT. Expression QTLs with opposing effects on HLA-DR and -DQ genes are associated with autoimmune disorders: Evidence for mixed isotype heterodimer formation at the 32nd EFI Conference.",,"Venice, Italy",2018,2018,,,,
presentations,TRUE,"Ozbek U, Singh SK, Kennedy AE, et al. Exploration of very long-range linkage disequilibrium within the extended HLA region at the 32nd European Immunogenetic and Histocompatibility Conference.",,"Venice, Italy",2018,2018,,,,
presentations,TRUE,"Sucheston-Campbell LE, Singh SK, Karaesman E, et al. Donor SNPs in IL1RL1, Strongly Correlated with Serum sST2 Concentration, Significantly Associate with Risk of Acute GvHD: Implications for Donor Selection at the BMT Tandem meeting.",,"Salt Lake City, Utah, USA",2018,2018,,,,
presentations,TRUE,"Rizvi A, Karaesman E, Preus L, McCarthy PL, Pasquini M, Singh S, Singh SK, et al. Novel genetic associations with day +100 transplant related mortality after HLA-matched unrelated donor blood and marrow transplantation (DISCOVeRY-BMT) at the BMT Tandem meeting.",,"Salt Lake City, Utah, USA",2018,2018,,,,
presentations,TRUE,"Singh S, Singh SK, Rizvi A, Karaesmen E, et al. Genetic variation in the MHC region increases risk of death to graft versus host disease in leukemia patients treated with an HLA-matched unrelated donor transplant at the 2nd Annual Divison of Pharmaceutics Scientific Retreat 2017.",,"Columbus, OH, USA",2017,2017,,,,
presentations,TRUE,"Singh SK, Kennedy AE, Dorak MT. Genetic Evidence for Cancer Immune Surveillance at the 31st EFI Conference.",,"Heidelberg/Mannheim, Germany",2017,2017,,,,
presentations,TRUE,"Ozbek U, Kennedy AE, Singh SK, et al. SNPs correlating with Functional HLA region Epitopes and Supertypes Offer Insight into GWAS Associations at the 31st EFI Conference.",,"Heidelberg/Mannheim, Germany",2017,2017,,,,
presentations,TRUE,"Singh SK, Lupo PJ, Scheurer ME, et al. Making Sense of Genetic Associations with Childhood Leukaemia Risk at the Childhood Cancer Conference 2016.",,"London, UK",2016,2016,,,,
presentations,TRUE,"Singh SK, Chentoufi AA, McCauley JL, Dorak MT. Insights into type 1 diabetes and multiple sclerosis pathogenesis from common genetic associations at the 30th EFI Conference.",,"Kos Island, Greece",2016,2016,,,,
presentations,TRUE,"Singh SK, Huang Y, Caobi A, Barbieri MA, Dorak MT. Functional annotations of common disease markers in immune regulatory genes at the 30th EFI Conference.",,"Kos Island, Greece",2016,2016,,,,
presentations,TRUE,"Kennedy AE, Mustafi S, Singh SK,  et al. A catalog of HLA region SNPs with functional annotations, disease associations and correlations with HLA types at the 41st Annual Meeting of the ASHI.",,"Savannah, GA, USA",2015,2015,,,,
presentations,TRUE,"Singh SK, Lupo PJ, Scheurer ME, et al. Genome-wide association study of childhood acute lymphoblastic leukaemia risk with gender-specificity at the ESHG.",,"Glasgow, Scotland, United Kingdom",2015,2015,,,,
presentations,TRUE,"Singh SK, Lupo PJ, Scheurer ME, et al. HLA region contributes to the gender differential in childhood leukaemia risk at the 29th EFI Conference.",,"Geneva, Switzerland",2015,2015,,,,
presentations,TRUE,Singh SK and Dorak MT. Alternative Explanations for HLA and Disease Associations at the 28th EFI Conference.,,"Stockholm, Sweden",2014,2014,,,,
presentations,TRUE,"Oguz FS, Kekik C, Singh SK, et al. HLA and age-of-onset in childhood acute lymphoblastic leukaemia at the 28th EFI Conference.",,"Stockholm, Sweden",2014,2014,,,,
presentations,TRUE,"Kennedy AE, Singh SK, Villalba K, Dorak MT. Analysis of HLA region polymorphisms associated with cancer at the 39th Annual Meeting of theASHI.",,"Chicago, IL, USA",2013,2013,,,,
presentations,TRUE,"Singh SK, Ben Taleb Z, Kennedy AE, et al. Further exploration of HLA region associations with lung cancer risk at the 39th Annual Meeting of the ASHI.",,"Chicago, IL, USA",2013,2013,,,,
presentations,TRUE,"Guyton D, Caobi A, Singh SK, Peyser M, Dorak MT. HLA region and lung cancer susceptibility: confirmation of BAT3/BAG6 association and functional replication at the 38th Annual Meeting of the ASHI.",,"San Juan, PR",2012,2012,,,,
presentations,TRUE,"Singh SK, Saxena A, Das S, Dorak MT. NOTCH4 polymorphisms, functional assessment and associations with breast cancer susceptibility at the 38th Annual Meeting of the ASHI.",,"San Juan, PR",2012,2012,,,,
presentations,TRUE,"Kennedy AE, Singh SK, Scheurer ME, Okcu MF, Dorak MT. Association of HLA-linked lymphoma risk markers with childhood acute lymphoblastic leukemia at the 38th Annual Meeting of the ASHI.",,"San Juan, PR",2012,2012,,,,
presentations,TRUE,"Kennedy AE, Singh SK, Samikkannu M, Dorak MT. Correlations of complex disease-associated HLA region SNPs with HLA alleles at the 37th Annual Meeting of the ASHI.",,"New Orleans, LA, USA",2011,2011,,,,
grants_awards,TRUE,Personal bursary from the European Federation of Immunogenetics (Euro 800 ),,,2019,2019,,,,
grants_awards,TRUE,"Awarded first prize for the Presentation in a genomics research  at the First BiOmics Conference, India",,,2019,2019,,,,
grants_awards,TRUE,"Dissertation Year Fellowship from University Graduate School Florida International University ($8,300/term)",,,2014,2015,,,,
grants_awards,TRUE,"Summer research award from MBRS RISE Biomedical Research Initiative, Florida International University for proposed grant on X chromosome polymorphisms in acute lymphoblastic leukemia risk and male disadvantage ($3000)",,,2013,2013,,,,
grants_awards,TRUE,"Summer research award from MBRS RISE Biomedical Research Initiative, Florida International University for proposed grant on DDX3X gene polymorphisms and Genetic susceptibility to disadvantage childhood leukemia ($3000)",,,2012,2012,,,,
data_science_writings,TRUE,Implementing an Artificial Neural Network: A Step-by-Step Guide ([LINK](https://www.odinschool.com/blog/data-science/artificial-neural-network-walkthrough)),,,2020,2020,,,,
data_science_writings,TRUE,Beautifulsoup: A step-by-step guide to Data Scraping with Python ([LINK](https://www.odinschool.com/blog/data-science/beautifulsoup-a-step-by-step-guide-to-data-scraping-with-python)),,,2020,2020,,,,
